composer	occurences
J. S. Bach	9819
Y. Kato  加藤 洋平	5156
W. A. Mozart	5044
L. V. Beethoven	4372
P. F. Carera	4344
T. Fox	3389
J. Williams	2992
K. Kondo	2831
A. Antão	1391
A. Vivaldi	1347
J. Hisaishi	1303
H. Zimmer	1227
W. Marshall	1222
F. Schubert	1155
S. M. Kudlo	1103
J. Pachelbel	1083
J. Buchanans	1068
J. Brahms	1055
G. F. Handel	994
M. Kook	987
E. Bingham-Kumpf	977
N. Uematsu	968
F. Chopin	926
A. Menken	870
C. Miranda	864
L. Cohen	860
R. Karle	842
E. Sheeran	804
N. Gow	804
R. Djawadi	793
J. S. Skinner	760
A. Walker	738
C. Debussy	709
J. Dowland	702
T. Jokilehto	697
G. Holst	691
Coldplay	665
F. Mercury	651
N. Aluqdah	645
H. Purcell	629
T. Ocarolan	626
Compateur	593
G. Verdi	593
A. Piazzolla	591
A. L. Webber	591
J. Masuda	588
Pentatonix	587
Queen	581
S. Joplin	576
I. Dragons	569
Hanrahan	568
E. Grieg	567
G. F. Händel	567
H. Shore	557
Y. Shimomura	553
J. Lennon	537
P. I. Tchaikovsky	534
Yiruma	533
R. Schumann	531
A. Silvestri	519
T. Beatles	506
T. F. T. Fox	506
Nintendo	503
L. Chops	502
J. Rutter	490
Ocarolan	485
G. Bizet	483
Tchaikovsky	481
E. John	479
P. John	477
H. Mancini	477
F. Liszt	473
G. Gershwin	466
Handel	465
E. Morricone	458
Jcstab	456
K. Totaka	454
M. Giacchino	450
C. H. Gabriel	445
J. Haydn	438
E. Elgar	438
M. Sabatella	426
Keishi	426
S. Wonder	425
D. Shostakovich	424
F. Mendelssohn	424
B. Eilish	423
D. Ellington	423
G. P. Telemann	422
M. Jackson	421
R. Rodgers	415
L. Mason	415
Zakura	413
B. Mars	413
M. Gold	413
Y. Tiersen	411
J. Hurwitz	402
B. Joel	402
Pachelbel	397
W. J. Kirkpatrick	392
